GENDER_LABEL,EDUC_LEVEL,AGE_GROUP,MARSTAT_LABEL,MH1_LABEL,count,percentage
Female,Middle School or below,20s,"Divorced, widowed",Alcohol or substance use disorders,9,0.6189821182943603
Female,Middle School or below,20s,"Divorced, widowed",Anxiety disorders,19,0.1318894904900736
Female,Middle School or below,20s,"Divorced, widowed",Bipolar disorders,34,0.3774422735346359
Female,Middle School or below,20s,"Divorced, widowed",Delirium/dementia disorders,1,0.2551020408163265
Female,Middle School or below,20s,"Divorced, widowed",Depressive disorders,61,0.2368012422360248
Female,Middle School or below,20s,"Divorced, widowed",Oppositional defiant disorders,2,0.1958863858961802
Female,Middle School or below,20s,"Divorced, widowed",Other disorders/conditions,8,0.1236476043276661
Female,Middle School or below,20s,"Divorced, widowed",Personality disorders,6,0.7371007371007371
Female,Middle School or below,20s,"Divorced, widowed",Pervasive developmental disorders,1,0.4
Female,Middle School or below,20s,"Divorced, widowed",Schizophrenia or other psychotic disorders,21,0.2084781097984711
Female,Middle School or below,20s,"Divorced, widowed",Trauma- and stressor-related disorders,30,0.2010858636637844
Female,Middle School or below,20s,"Divorced, widowed",unknown/invalid,23,0.2311093247588424
Female,Middle School or below,20s,Never married,Alcohol or substance use disorders,218,14.99312242090784
Female,Middle School or below,20s,Never married,Anxiety disorders,771,5.351936693044565
Female,Middle School or below,20s,Never married,Attention deficit/hyperactivity disorder (ADHD),695,29.140461215932913
Female,Middle School or below,20s,Never married,Bipolar disorders,875,9.713587921847248
Female,Middle School or below,20s,Never married,Conduct disorders,120,23.715415019762844
Female,Middle School or below,20s,Never married,Delirium/dementia disorders,2,0.5102040816326531
Female,Middle School or below,20s,Never married,Depressive disorders,1707,6.626552795031055
Female,Middle School or below,20s,Never married,Oppositional defiant disorders,379,37.12047012732615
Female,Middle School or below,20s,Never married,Other disorders/conditions,952,14.714064914992273
Female,Middle School or below,20s,Never married,Personality disorders,46,5.651105651105651
Female,Middle School or below,20s,Never married,Pervasive developmental disorders,115,46.0
Female,Middle School or below,20s,Never married,Schizophrenia or other psychotic disorders,427,4.2390548992355805
Female,Middle School or below,20s,Never married,Trauma- and stressor-related disorders,1634,10.952476707554126
Female,Middle School or below,20s,Never married,unknown/invalid,2152,21.623794212218648
Female,Middle School or below,20s,Now married,Alcohol or substance use disorders,30,2.063273727647868
Female,Middle School or below,20s,Now married,Anxiety disorders,79,0.5483826183534639
Female,Middle School or below,20s,Now married,Attention deficit/hyperactivity disorder (ADHD),7,0.2935010482180293
Female,Middle School or below,20s,Now married,Bipolar disorders,74,0.8214920071047958
Female,Middle School or below,20s,Now married,Conduct disorders,2,0.3952569169960474
Female,Middle School or below,20s,Now married,Depressive disorders,177,0.687111801242236
Female,Middle School or below,20s,Now married,Oppositional defiant disorders,5,0.4897159647404506
Female,Middle School or below,20s,Now married,Other disorders/conditions,33,0.5100463678516229
Female,Middle School or below,20s,Now married,Personality disorders,4,0.4914004914004914
Female,Middle School or below,20s,Now married,Pervasive developmental disorders,1,0.4
Female,Middle School or below,20s,Now married,Schizophrenia or other psychotic disorders,25,0.2481882259505609
Female,Middle School or below,20s,Now married,Trauma- and stressor-related disorders,89,0.5965547288692271
Female,Middle School or below,20s,Now married,unknown/invalid,54,0.5426045016077171
Female,Middle School or below,20s,Separated,Alcohol or substance use disorders,17,1.169188445667125
Female,Middle School or below,20s,Separated,Anxiety disorders,21,0.1457725947521866
Female,Middle School or below,20s,Separated,Bipolar disorders,29,0.3219360568383659
Female,Middle School or below,20s,Separated,Depressive disorders,74,0.2872670807453416
Female,Middle School or below,20s,Separated,Other disorders/conditions,8,0.1236476043276661
Female,Middle School or below,20s,Separated,Personality disorders,5,0.6142506142506142
Female,Middle School or below,20s,Separated,Schizophrenia or other psychotic disorders,11,0.1092028194182467
Female,Middle School or below,20s,Separated,Trauma- and stressor-related disorders,32,0.2144915879080367
Female,Middle School or below,20s,Separated,unknown/invalid,22,0.2210610932475884
Female,Middle School or below,20s,unknown/invalid,Alcohol or substance use disorders,11,0.7565337001375516
Female,Middle School or below,20s,unknown/invalid,Anxiety disorders,3302,22.921005136748576
Female,Middle School or below,20s,unknown/invalid,Attention deficit/hyperactivity disorder (ADHD),487,20.41928721174004
Female,Middle School or below,20s,unknown/invalid,Bipolar disorders,323,3.585701598579041
Female,Middle School or below,20s,unknown/invalid,Conduct disorders,18,3.557312252964427
Female,Middle School or below,20s,unknown/invalid,Delirium/dementia disorders,3,0.7653061224489796
Female,Middle School or below,20s,unknown/invalid,Depressive disorders,1402,5.442546583850931
Female,Middle School or below,20s,unknown/invalid,Oppositional defiant disorders,20,1.9588638589618024
Female,Middle School or below,20s,unknown/invalid,Other disorders/conditions,545,8.423493044822257
Female,Middle School or below,20s,unknown/invalid,Personality disorders,162,19.901719901719904
Female,Middle School or below,20s,unknown/invalid,Pervasive developmental disorders,4,1.6
Female,Middle School or below,20s,unknown/invalid,Schizophrenia or other psychotic disorders,152,1.5089844137794102
Female,Middle School or below,20s,unknown/invalid,Trauma- and stressor-related disorders,1939,12.9968496548026
Female,Middle School or below,20s,unknown/invalid,unknown/invalid,463,4.652331189710611
Female,Middle School or below,30s,"Divorced, widowed",Alcohol or substance use disorders,62,4.264099037138927
Female,Middle School or below,30s,"Divorced, widowed",Anxiety disorders,90,0.6247396917950854
Female,Middle School or below,30s,"Divorced, widowed",Attention deficit/hyperactivity disorder (ADHD),5,0.2096436058700209
Female,Middle School or below,30s,"Divorced, widowed",Bipolar disorders,178,1.9760213143872112
Female,Middle School or below,30s,"Divorced, widowed",Depressive disorders,281,1.0908385093167705
Female,Middle School or below,30s,"Divorced, widowed",Oppositional defiant disorders,3,0.2938295788442703
Female,Middle School or below,30s,"Divorced, widowed",Other disorders/conditions,29,0.4482225656877898
Female,Middle School or below,30s,"Divorced, widowed",Personality disorders,7,0.85995085995086
